time,open,high,low,close,volume,ticker,RSI_14,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,BBL_5_2.0_2.0,BBM_5_2.0_2.0,BBU_5_2.0_2.0,BBB_5_2.0_2.0,BBP_5_2.0_2.0,target,sentiment_score
2022-09-26,49990,50290,49240,49990,1863600,FPT,33.16185850089949,-534.8096350810447,-175.89796864572844,-358.91166643531625,49725.256023688315,50602.0,51478.743976311685,3.4652542441472094,0.1509813488684683,-1,0.0923578154949597
2022-09-27,50290,50290,49370,49370,932900,FPT,29.301183105267203,-626.6528852213451,-214.192975028823,-412.45991019252205,49088.872301432064,50244.0,51399.127698567936,4.598072201926343,0.12168684852612517,-1,0.195716110679402
2022-09-28,49120,49300,47840,47840,2048400,FPT,22.377704125181744,-813.5197862119312,-320.8479008155273,-492.6718853964039,47334.91796196629,49718.0,52101.08203803371,9.586395422316706,0.10597244030475239,-1,-0.04279786187733413
2022-09-29,48940,49120,47220,47220,1303900,FPT,20.285911226473107,-1000.1132865753607,-405.95312094316546,-594.1601656321952,46163.16985310201,48992.0,51820.83014689799,11.548130906670442,0.18679632427858547,1,0.05627313742323986
2022-09-30,47220,49570,47160,49370,2109900,FPT,40.912599129197865,-963.3975015429969,-295.3898687286413,-668.0076328143556,46418.11111374943,48758.0,51097.88888625057,9.59796909738123,0.6307754405767247,-1,0.01610105389743167
2022-10-03,48830,49240,46860,47220,1245600,FPT,31.99639272517576,-1095.1626557023483,-341.72401831039406,-753.4386373919542,46015.82267628993,48204.0,50392.17732371007,9.078820528213724,0.2751553337707521,1,-0.02445046348443558
2022-10-04,47840,48450,47350,47550,2040000,FPT,34.360927166293045,-1159.5921906624862,-324.92284261642556,-834.6693480460607,46052.879410896116,47840.0,49627.120589103884,7.471239921002861,0.4188638971068498,1,-0.11739464904643948
2022-10-05,48450,48780,48090,48090,971900,FPT,38.15069841573112,-1153.7795221479246,-255.2881392814911,-898.4913828664335,46088.94475376267,47890.0,49691.05524623733,7.5216339370947205,0.5555230053097564,-1,0.08585657139437486
2022-10-06,48390,48390,46920,46920,1266700,FPT,33.62128784826481,-1229.4102858798433,-264.73512241072785,-964.6751634691154,45901.840255580726,47830.0,49758.159744419274,8.062553813168613,0.2640237011912944,-1,0.14292722715199987
2022-10-07,46740,46740,45380,45380,2061000,FPT,28.778199825181453,-1397.50378697033,-346.2628988009717,-1051.2408881693584,44991.24523766351,47032.0,49072.75476233649,8.678154287874163,0.0952477900606238,0,0.02406207671139345
2022-10-10,45080,46300,44220,45380,1625600,FPT,28.778199825181453,-1513.2750053521013,-369.62729374619425,-1143.647711605907,44177.773944308545,46664.0,49150.226055691455,10.655863430873715,0.24177730197528216,-1,-0.0824094576644413
2022-10-11,45380,45380,43540,43540,1593600,FPT,23.989701585078667,-1733.5142789520396,-471.8932538769059,-1261.6210250751337,42406.615795602585,45862.0,49317.384204397415,15.068615430628471,0.1640026314519583,1,0.1242150192794067
2022-10-12,43540,44970,43540,44400,1463100,FPT,29.863825378136017,-1817.7072793058178,-444.8690033845471,-1372.8382759212707,42596.17089185222,45124.0,47651.82910814778,11.203923003934847,0.35679411680434014,1,0.20533557176545988
2022-10-13,44280,44770,43870,44770,829200,FPT,32.288325268534,-1833.440173835923,-368.4815183317219,-1464.958655504201,43156.105335206856,44694.0,46231.894664793144,6.881884211720339,0.5247091045114661,1,-0.020759283754209327
